AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.268,-0.150,-29.366,16.130,43.366,STANDING
-1.416,-0.344,-15.855,-8.198,-21.137,MOVING
-1.409,-0.220,-70.130,50.771,1.466,STANDING
-1.268,-0.254,-17.855,33.008,66.389,STANDING
-1.336,-0.245,15.168,12.305,-61.458,STANDING
-1.024,-0.273,-25.435,35.885,16.122,MOVING
-1.429,-0.116,-0.282,0.725,6.679,MOVING
-1.294,-0.061,-7.870,-2.099,6.786,STANDING
-1.322,-0.228,-2.817,-8.061,32.344,STANDING
-1.430,-0.163,33.389,0.802,45.214,STANDING
-1.311,-0.189,10.534,-4.237,-52.382,STANDING
-1.300,-0.227,5.565,-1.824,14.580,STANDING
-1.323,-0.155,47.832,-1.206,-24.687,STANDING
-1.394,-0.086,-3.351,5.878,7.527,STANDING
-1.296,0.007,-9.260,9.389,22.137,STANDING
-1.362,-0.115,-9.939,3.046,-5.679,STANDING
-1.152,-0.159,-3.779,-3.298,-38.748,MOVING
-1.344,-0.105,7.916,-0.061,35.252,MOVING
-1.393,-0.093,12.122,2.702,-53.160,STANDING
-1.180,-0.224,-23.832,13.519,48.168,MOVING
-1.421,-0.083,-2.863,7.496,6.870,MOVING
-1.220,-0.100,16.908,-19.412,-63.603,MOVING
-1.238,-0.252,7.481,-3.473,25.924,STANDING
-1.360,-0.250,-21.496,10.534,-6.969,STANDING
-1.198,-0.365,4.145,29.405,47.344,STANDING
-1.437,-0.191,8.992,4.847,-11.107,MOVING
-1.243,-0.146,-25.511,14.076,-10.176,MOVING
-1.309,-0.153,-45.870,5.519,73.115,STANDING
-1.315,-0.222,25.832,-3.038,-43.000,STANDING
-1.094,-0.121,-3.359,3.244,-1.153,MOVING
-1.286,-0.168,24.817,-9.542,-58.092,MOVING
-1.227,-0.107,-6.672,-0.656,38.855,STANDING
-1.339,-0.174,8.817,8.076,-6.489,STANDING
-1.115,-0.080,-10.176,2.573,22.305,MOVING
-1.236,-0.161,25.534,-5.763,-26.328,STANDING
-1.263,-0.140,15.802,-2.008,15.191,STANDING
-1.370,-0.148,-12.153,15.015,-15.382,STANDING
-1.150,-0.210,-3.481,-21.863,-0.191,MOVING
-1.546,-0.355,18.840,-11.252,-12.031,MOVING
-1.299,-0.164,25.405,-6.168,-40.573,MOVING
-1.263,-0.121,-23.328,10.084,31.145,STANDING
-1.418,-0.260,-16.015,0.458,-3.183,MOVING
-1.231,-0.202,-12.473,24.786,54.847,MOVING
-1.293,-0.195,24.198,-12.527,-34.107,STANDING
-1.225,-0.177,-29.015,27.336,-9.099,STANDING
-1.175,-0.055,29.061,-15.000,20.053,STANDING
-1.102,-0.162,9.420,22.809,-39.252,STANDING
-1.251,-0.055,10.878,-4.504,21.550,STANDING
-1.367,-0.113,11.748,-20.595,-4.916,STANDING
-1.161,-0.058,2.626,3.947,-6.313,MOVING
-1.392,0.102,23.656,-23.206,36.473,MOVING
-1.131,-0.311,12.618,-51.053,-18.969,MOVING
-1.343,-0.161,-13.427,15.740,5.260,MOVING
-1.014,-0.124,-2.473,1.550,-10.840,MOVING
-1.391,-0.205,26.580,-32.412,-20.282,MOVING
-1.171,-0.212,34.153,-31.496,-14.252,MOVING
-1.268,-0.201,-20.466,12.847,-21.786,STANDING
-1.273,-0.098,23.275,-4.122,24.969,STANDING
-1.242,-0.207,-47.252,-3.817,-18.206,STANDING
-1.252,-0.094,7.092,-1.985,-1.061,STANDING
-1.141,-0.182,55.672,-44.321,-28.733,STANDING
-1.117,-0.172,-1.885,13.969,-42.924,STANDING
-1.244,-0.175,14.206,-3.374,5.870,STANDING
-1.105,-0.283,19.885,2.809,-11.748,STANDING
-1.219,-0.243,16.000,6.115,0.603,STANDING
-1.175,0.003,24.672,0.748,1.275,STANDING
-1.227,-0.141,17.527,-2.221,-16.145,STANDING
-1.248,-0.276,-2.435,0.168,0.344,STANDING
-1.178,-0.224,-4.557,0.359,-2.656,STANDING
-1.155,-0.168,-0.924,-1.588,8.641,STANDING
-1.254,-0.185,1.771,7.809,-7.458,STANDING
-1.129,-0.083,2.672,0.519,0.779,STANDING
-1.241,-0.250,49.672,-18.756,-19.985,STANDING
-1.189,-0.185,-17.023,7.969,13.870,STANDING
-1.294,-0.129,17.008,0.748,-9.626,STANDING
-1.176,-0.294,-15.092,9.870,2.244,STANDING
-1.302,0.118,0.466,7.031,2.641,STANDING
-1.183,-0.266,-8.412,5.496,1.397,STANDING
-1.262,-0.021,-19.420,13.496,8.763,STANDING
-1.232,-0.214,6.565,-9.046,-7.504,STANDING
-1.226,-0.192,-13.046,1.870,-4.954,STANDING
-1.162,-0.234,-0.947,4.779,-7.573,STANDING
-1.194,-0.125,-28.695,23.176,14.687,STANDING
-1.296,-0.136,-10.916,-4.718,5.908,STANDING
-1.261,-0.297,8.519,-6.649,-6.145,STANDING
-1.240,-0.294,-26.359,15.092,-9.962,STANDING
-1.111,-0.194,-34.099,17.382,-15.267,STANDING
-1.038,-0.083,-12.893,2.618,-4.863,STANDING
-1.195,-0.306,-38.443,-8.069,63.794,MOVING
-1.338,-0.323,-19.931,10.565,12.496,STANDING
-1.050,-0.132,12.718,8.580,-37.878,MOVING
-1.207,-0.021,-19.427,-0.702,14.740,STANDING
-1.321,-0.227,-20.588,8.763,12.962,STANDING
-1.234,-0.337,115.405,-31.809,-22.267,STANDING
-1.327,-0.097,34.061,-13.603,-11.901,STANDING
-1.237,-0.147,-4.588,-1.191,-3.244,STANDING
-1.308,-0.184,-18.374,7.084,-0.206,STANDING
-1.271,-0.212,10.863,-4.496,-9.405,STANDING
-1.177,-0.181,-6.618,10.069,1.198,STANDING
-1.267,-0.208,-15.344,12.130,9.771,STANDING
-1.294,-0.164,-13.405,9.000,-6.244,STANDING
-1.305,-0.061,1.206,5.908,1.893,STANDING
-1.294,-0.149,10.870,-10.473,-6.832,STANDING
-1.259,-0.231,-1.962,-0.137,-4.427,STANDING
-1.272,-0.219,2.267,11.809,3.718,STANDING
-1.313,-0.040,1.603,-0.229,0.870,STANDING
-1.404,-0.270,-9.847,2.832,1.221,STANDING
-1.292,-0.036,13.382,-5.481,-7.198,STANDING
-1.270,-0.175,1.023,0.740,-3.374,STANDING
-1.263,-0.259,7.885,-2.053,-5.840,STANDING
-1.269,-0.283,-8.817,14.634,4.290,STANDING
-1.270,-0.120,-25.076,5.756,4.687,STANDING
-1.305,0.057,12.176,-6.153,-5.679,STANDING
-1.240,-0.424,-9.985,12.145,2.908,STANDING
-1.249,-0.444,-20.878,17.412,13.466,STANDING
-1.355,-0.070,7.458,5.481,-3.542,STANDING
-1.407,-0.223,-0.947,-2.153,1.763,STANDING
-1.355,-0.198,-35.183,8.817,9.374,STANDING
-1.250,-0.176,-36.985,38.824,5.695,STANDING
-1.235,-0.256,-19.947,22.756,8.679,STANDING
-1.231,-0.400,1.313,5.183,2.450,STANDING
-1.333,-0.195,-18.786,6.168,3.916,STANDING
-1.164,-0.029,-1.374,15.634,6.389,MOVING
-1.321,-0.100,26.565,0.137,-11.687,MOVING
-1.256,-0.089,-33.214,12.687,15.099,STANDING
-1.234,-0.024,41.840,-20.153,-18.275,STANDING
-1.339,-0.157,-9.847,5.382,1.977,STANDING
-1.194,-0.059,-2.603,-2.534,5.878,MOVING
-1.165,-0.083,-2.366,-5.489,-3.573,STANDING
-1.328,-0.168,-5.084,4.756,-9.863,MOVING
-1.302,-0.094,-1.710,3.053,-0.733,STANDING
